Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Machines.PipeBending.Monitoring.ChannelMonitoring_1.ChannelMode","ns=7;i=6039",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.ChannelMonitoring_1.ChannelState","ns=7;i=6030",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.ChannelMonitoring_1.FeedOverride","ns=7;i=6035",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.ChannelMonitoring_1.Name","ns=7;i=6038",String,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.ChannelMonitoring_1.RapidOverride","ns=7;i=6041",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.ChannelMonitoring_2.ChannelMode","ns=7;i=6037",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.ChannelMonitoring_2.ChannelState","ns=7;i=6036",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.ChannelMonitoring_2.FeedOverride","ns=7;i=6042",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.ChannelMonitoring_2.Name","ns=7;i=6043",String,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.ChannelMonitoring_2.RapidOverride","ns=7;i=6044",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.ChannelMonitoring_3.ChannelMode","ns=7;i=6046",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.ChannelMonitoring_3.ChannelState","ns=7;i=6045",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.ChannelMonitoring_3.FeedOverride","ns=7;i=6047",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.ChannelMonitoring_3.Name","ns=7;i=6048",String,1,R/W,100,,,,,,,,,,"",
